age,years_employed,annual_income,credit_score,dti_ratio,existing_debt,loan_purpose,employment_type,monthly_expenses,num_dependents,savings_balance,num_open_credit_lines,num_previous_defaults,property_owned,loan_term_months,market_rate,recommended_loan_amount
40,16,188165.04,685,0.2547,43160.34,business,salaried,6362.96,2,143812.84,4,0,0,180,4.759,109731.63
64,39,79915.54,661,0.229,21473.92,auto,salaried,4091.58,3,433989.91,3,1,1,180,5.104,99119.24
38,12,60098.1,582,0.2126,12441.02,personal,part_time,3197.64,3,79080.52,3,0,1,48,7.304,43237.17
43,18,162682.51,677,0.1629,24811.62,home_purchase,self_employed,8531.69,2,692311.51,4,0,1,84,7.881,156861.36
39,15,62017.53,591,0.2811,18525.82,auto,salaried,1837.57,4,29672.67,2,0,1,48,7.995,38112.92
28,4,24559.42,591,0.2996,8143.88,personal,part_time,1028.47,1,7155.85,4,1,0,180,5.109,15723.73
51,26,56158.7,634,0.2502,,business,contract,2008.54,3,24077.66,2,0,0,120,6.568,40093.65
47,29,60122.84,626,0.2196,15379.81,medical,salaried,1579.57,0,34186.36,4,0,1,180,5.471,40429.53
47,20,76559.18,622,0.2141,17689.18,auto,part_time,3123.94,1,11354.7,4,0,1,48,8.156,47176.53
30,8,99804.92,650,0.2672,21818.54,business,self_employed,4777.26,2,60336.45,5,0,0,84,9.534,59409.44
54,34,50632.93,619,0.3438,16085.04,personal,self_employed,2598.87,2,34082.35,5,0,0,240,6.144,40214.12
25,5,69004.28,607,0.2453,15584.7,education,salaried,2807.29,0,8656.16,2,0,0,60,4.895,36127.85
45,22,44142.35,583,0.2944,12066.98,auto,self_employed,1996.36,2,26979.12,4,0,0,180,5.589,32161.33
61,38,44936.09,650,0.2235,8463.76,home_purchase,salaried,1332.42,3,7888.81,4,0,1,36,7.697,35606.94
30,9,125644.25,654,0.287,29439.64,home_purchase,salaried,3717.89,1,60781.91,5,0,0,60,7.316,67881.74
34,13,176157.02,669,0.2425,38131.81,home_purchase,salaried,8367.85,3,167097.58,4,0,0,240,5.7,108205.45
40,16,78886.67,599,0.3363,27417.54,home_purchase,salaried,2499.45,0,12215.93,3,0,1,180,6.106,45586.45
34,5,168156.1,758,0.2061,27762.78,home_purchase,self_employed,7187.87,3,71305.76,6,0,0,36,6.407,94425.92
24,0,24746.78,488,0.3534,10102.78,home_purchase,salaried,1132.9,4,34665.75,2,0,1,240,7.593,14896.01
40,13,73715.69,603,0.2421,20851.2,auto,salaried,3045.62,2,66041.8,3,0,1,48,4.548,49315.85
29,4,85840.11,613,0.2375,21313.19,education,self_employed,4637.85,3,56933.41,4,0,1,12,4.744,52510.1
44,22,88138.7,677,0.2674,19335.7,business,salaried,3936.38,2,72810.5,4,1,1,84,6.684,59447.81
30,9,76295.7,617,0.2886,26242.41,personal,salaried,3727.19,4,17508.94,1,0,1,48,7.334,44855.99
55,37,36596.58,634,0.3685,,home_purchase,salaried,1022.26,1,11833.08,4,0,1,360,4.735,30876.98
32,7,115243.61,633,0.2135,24907.38,home_purchase,self_employed,4664.8,2,61867.92,4,0,0,36,5.631,65564.73
36,17,101485.89,713,0.2743,27579.51,auto,part_time,5280.55,0,42873.36,8,0,1,60,6.206,63754.24
48,27,50120.19,641,0.2705,11558.03,business,salaried,2283.79,0,47945.1,1,0,0,84,7.325,39147.06
27,9,54763.14,594,0.2409,14764.92,home_purchase,self_employed,2061.56,3,52764.73,5,0,0,36,5.82,34228.45
42,22,31355.0,638,0.1319,4128.23,home_purchase,salaried,1215.06,2,14834.95,5,0,0,84,4.324,24711.56
53,26,43659.71,614,0.247,8711.43,home_purchase,contract,1571.87,2,63816.24,3,0,0,120,6.493,37484.24
23,0,33058.9,662,0.2271,6463.71,business,salaried,885.98,1,8864.31,3,0,0,240,6.873,19259.33
41,20,37154.0,662,0.227,7711.99,education,salaried,1339.91,0,31229.16,1,0,1,120,6.418,29372.68
42,17,66487.76,639,0.3102,24042.41,education,salaried,3258.29,3,139046.09,6,0,1,120,7.599,56322.83
47,21,32919.47,605,0.2607,,refinance,salaried,1195.06,1,54196.48,5,0,1,120,3.783,31581.13
27,0,51296.68,585,0.3082,18595.85,education,salaried,2536.31,0,8566.55,4,1,1,48,5.199,29615.9
26,4,62467.72,648,0.1905,10827.64,personal,contract,1918.34,1,88438.01,4,0,0,60,6.873,40903.08
45,27,95041.14,703,0.2496,28318.49,auto,salaried,2499.46,2,21325.82,8,0,0,360,6.769,56868.44
42,18,83616.15,629,0.2056,20318.79,personal,self_employed,3131.39,2,7243.86,2,0,0,60,7.418,48525.98
42,22,135052.35,686,0.2733,40029.72,personal,self_employed,5013.58,1,120125.03,3,0,0,120,4.905,86223.46
43,20,50160.64,640,0.3129,17306.32,home_purchase,salaried,2405.42,3,64057.34,5,0,0,60,7.1,40500.55
33,5,38982.29,636,0.1918,,home_purchase,part_time,1957.66,2,8058.0,4,2,1,12,7.266,27266.36
42,22,49336.21,596,0.3847,16929.86,refinance,salaried,1300.11,1,98898.19,8,0,0,24,6.584,39729.65
42,15,33755.03,625,0.25,7408.72,education,salaried,1500.74,4,16836.32,3,1,1,120,6.456,26173.82
32,10,68829.65,703,0.2483,20230.39,personal,part_time,1734.35,0,20752.72,6,0,1,36,5.388,40939.91
58,34,55513.55,639,0.3033,,business,salaried,2475.14,3,44991.02,3,1,1,36,6.777,44838.78
44,25,84016.52,660,0.2199,19230.08,business,salaried,3848.58,2,90980.65,5,1,1,360,5.426,59417.49
28,1,27126.7,608,0.247,,home_purchase,salaried,1050.58,2,33356.0,6,0,1,180,7.231,21440.48
46,25,65742.04,654,0.2357,,home_purchase,salaried,1833.47,2,,12,0,1,180,6.976,43421.4
30,4,121447.87,609,0.3043,35763.06,business,self_employed,4696.52,0,98725.95,6,0,0,120,5.345,71967.43
47,22,88090.04,716,0.2523,20603.76,medical,self_employed,3833.57,2,60955.32,5,1,1,120,5.754,60393.43
51,14,54462.78,623,0.3436,20595.64,business,salaried,2620.49,1,11761.68,4,0,1,84,6.486,39641.03
31,13,65784.89,644,0.3245,22392.54,personal,salaried,3115.81,0,17161.96,4,0,1,360,8.097,40125.14
49,29,45872.11,630,0.3315,16387.4,home_purchase,salaried,2271.12,0,41839.98,5,0,0,360,6.295,37837.36
44,18,66598.07,663,0.2957,20007.15,refinance,part_time,2169.33,0,28506.09,5,0,1,60,5.72,43726.0
48,21,54702.98,608,0.3219,20444.17,business,salaried,2379.08,3,48676.25,3,0,1,360,5.732,41641.53
58,34,105798.04,617,0.2569,22446.91,business,salaried,3533.68,4,152542.21,3,0,1,36,8.004,76184.87
37,17,69068.68,626,0.2445,,refinance,salaried,2367.77,0,48511.04,0,0,1,120,5.291,43347.78
32,2,77526.83,640,0.1874,13017.49,business,contract,3094.33,2,102967.53,3,0,1,180,5.363,51678.95
31,8,64729.23,609,0.3514,23865.68,home_purchase,salaried,2038.25,2,51988.11,5,0,1,120,7.398,40297.76
31,13,83886.95,612,0.2822,27704.3,education,self_employed,3171.01,0,150099.55,5,0,1,48,5.431,60269.73
39,12,59370.77,633,0.2851,15643.41,home_purchase,salaried,2076.8,1,68938.99,3,0,1,24,5.163,41965.6
43,21,97417.28,616,0.137,15822.8,personal,salaried,2824.7,0,138410.56,3,0,1,36,7.677,65142.76
42,24,54395.53,662,0.2196,10399.31,auto,salaried,1708.52,1,29863.09,3,0,0,120,7.413,36784.74
48,28,131692.73,662,0.3012,46892.83,home_purchase,salaried,5850.71,1,52213.55,7,0,1,48,5.996,82071.93
40,18,84814.65,657,0.2718,18825.38,education,salaried,2580.33,0,68416.95,9,0,1,84,6.67,53352.86
54,34,58949.39,597,0.2549,13996.64,education,salaried,2144.21,0,22924.31,1,0,1,60,6.749,40769.73
37,13,100815.35,692,0.2303,25062.82,refinance,self_employed,4615.3,0,197461.06,4,0,0,120,7.049,77097.02
67,49,106696.58,691,0.3357,40747.93,home_purchase,contract,3840.52,0,87783.25,4,0,1,36,6.766,78330.29
46,22,100073.24,673,0.2348,20365.74,home_purchase,salaried,3088.1,4,104355.09,7,0,0,60,6.967,65968.6
31,1,69069.74,573,0.3071,24899.81,personal,salaried,2850.6,0,39587.38,4,1,0,360,8.728,41582.67
29,5,52422.88,586,0.2937,13280.35,home_purchase,self_employed,2353.31,0,50116.21,5,0,0,48,6.444,33370.48
44,18,70801.69,639,0.2755,22379.38,refinance,self_employed,3201.32,1,4818.75,5,0,1,360,5.37,44816.09
37,13,51524.45,580,0.3575,21253.54,auto,self_employed,2730.63,3,79652.25,6,0,0,360,5.582,40343.1
47,23,107976.01,634,0.3919,46344.25,personal,salaried,2739.36,1,8209.49,6,1,0,60,6.22,62103.84
44,26,137942.67,701,0.3051,48668.36,business,salaried,7029.56,2,45163.39,5,1,1,12,4.876,86013.73
39,19,88390.41,621,0.2866,21107.22,home_purchase,salaried,3152.06,0,57410.15,2,1,1,84,5.62,53675.87
31,10,134467.63,674,0.3056,48094.17,education,salaried,6643.9,1,123050.02,4,0,0,84,6.985,87078.15
24,1,52754.39,580,0.2226,11570.61,auto,self_employed,2754.26,3,127889.7,4,0,0,84,5.861,40503.62
35,8,57865.36,638,0.2647,14065.78,refinance,self_employed,2310.11,3,33488.42,4,0,1,360,6.091,37128.21
48,17,100498.32,608,0.247,19919.19,refinance,salaried,4716.43,1,104572.95,5,0,1,180,5.021,67839.32
42,20,9549924.99,634,0.2393,8573.73,medical,contract,1616.03,3,10337.05,4,0,1,120,5.588,200000.0
27,8,50771.58,689,0.2859,11972.9,refinance,salaried,1625.62,1,84959.46,3,0,1,36,6.505,37029.07
41,18,36637.33,594,0.358,10556.25,refinance,contract,945.9,1,20133.8,3,0,0,36,7.319,25398.04
43,18,62640.8,604,0.2176,13183.6,business,salaried,3282.34,0,22378.44,4,0,1,48,6.418,41065.92
31,10,32213.88,645,0.253,6718.59,education,self_employed,1005.81,0,22384.82,6,0,1,84,4.742,22160.03
41,18,114365.19,658,0.2221,28927.35,business,salaried,3593.43,2,75000.74,5,1,1,240,7.478,68895.85
40,22,54315.12,585,0.3279,14576.29,personal,salaried,2688.67,2,,4,0,0,12,5.419,36610.34
28,10,40738.6,621,0.3305,13798.94,personal,part_time,2160.07,0,133585.53,3,0,0,240,6.797,37938.11
43,24,63719.1,640,0.3779,24349.3,home_purchase,salaried,2933.8,4,24386.91,2,0,0,180,6.455,43347.67
45,26,26315.08,591,0.3511,9467.94,education,salaried,812.85,0,2306.84,6,0,0,12,7.777,20660.9
50,22,185882.61,675,0.3027,47993.82,auto,self_employed,6765.07,0,425839.78,5,0,1,84,6.811,141381.71
50,30,75707.48,674,0.1959,17100.71,home_purchase,contract,3787.86,0,103490.61,7,0,1,180,6.345,59466.88
26,5,50991.07,577,0.2651,14343.34,auto,part_time,1864.92,1,53470.97,4,0,0,84,6.361,31515.53
30,10,140648.28,616,0.2804,43899.05,auto,salaried,6856.45,2,102283.97,8,1,1,180,6.249,84979.42
45,24,152788.27,654,0.3853,67057.71,home_purchase,contract,7836.76,2,205527.19,5,1,0,120,5.847,110819.47
45,24,58946.41,660,0.2575,17571.62,education,self_employed,1604.07,2,20269.63,8,1,0,48,6.718,39131.9
45,27,35237.31,610,0.3525,13526.4,medical,contract,885.6,0,39998.78,6,0,0,60,5.648,28869.49
70,47,39511.94,617,0.2561,11037.49,auto,self_employed,1181.78,2,14963.06,0,0,1,48,6.828,38583.34
45,26,84103.59,643,0.2617,18924.56,home_purchase,contract,2355.91,1,,7,0,1,360,6.986,50757.85
51,27,58949.43,649,0.2586,13227.03,business,salaried,2247.12,1,22953.17,5,0,0,24,5.947,41249.72
49,30,30101.76,672,0.2224,7374.58,home_purchase,salaried,1473.06,3,6363.19,1,0,1,36,7.112,27193.82
46,27,51441.66,640,0.2989,13653.29,business,salaried,1797.33,5,55120.42,3,0,1,36,6.745,39214.88
36,15,127489.2,729,0.1513,19696.96,business,self_employed,3818.64,1,155390.25,6,0,1,84,7.52,80970.88
47,29,76582.81,669,0.1573,10948.49,refinance,salaried,2552.84,2,57068.51,1,0,1,60,5.898,50849.69
32,6,67754.47,611,0.2673,,home_purchase,salaried,2379.59,3,26868.05,4,0,0,120,7.086,38639.38
37,13,54480.77,650,0.2866,15307.75,refinance,self_employed,2030.99,0,16837.73,4,0,1,48,7.915,34871.37
35,13,52576.32,640,0.2265,10315.64,business,contract,1784.99,1,150979.8,5,1,1,60,8.388,45459.94
40,21,86853.69,684,0.3568,35282.43,auto,contract,3109.0,1,45820.24,5,0,1,60,4.716,56567.85
63,41,60241.99,669,0.2486,12868.16,auto,salaried,2129.1,3,14001.59,3,0,0,120,4.055,44655.48
22,4,57295.59,618,0.2804,17855.7,home_purchase,part_time,1577.93,4,14405.74,3,1,0,36,6.021,29574.38
46,21,86970.45,626,0.2221,19075.47,auto,self_employed,4148.1,5,,0,0,0,360,7.819,55097.85
23,0,20364.57,595,0.3205,5761.5,auto,salaried,570.23,3,16861.16,2,0,1,12,8.92,12597.24
35,14,80186.05,582,0.3475,26105.77,business,salaried,2380.82,2,18748.75,5,0,1,36,6.059,43984.24
50,27,54655.56,624,0.2832,15023.65,auto,contract,2380.24,0,19757.74,1,1,0,120,6.703,39081.6
40,20,64596.51,589,0.308,,home_purchase,part_time,2813.66,2,60663.79,7,0,1,36,7.334,43402.81
29,6,66081.39,636,0.2789,20711.91,personal,contract,3114.98,2,89442.02,5,0,1,48,7.687,46357.94
32,8,66526.46,651,0.2134,13364.92,auto,salaried,3083.06,2,75068.67,6,0,1,180,7.168,45373.44
46,23,59361.71,640,0.3366,19907.48,education,self_employed,3153.35,2,31395.86,5,0,0,120,5.826,43202.23
32,10,73514.81,622,0.2588,,business,salaried,2880.07,2,49585.81,4,0,0,84,5.002,44298.01
42,18,36946.08,603,0.3711,12203.06,home_purchase,salaried,1918.56,0,27103.42,1,0,0,180,5.596,28593.0
40,17,73896.75,675,0.1851,11390.29,auto,salaried,3276.28,0,38667.46,3,0,1,84,6.593,47344.46
33,9,154511.22,706,0.2739,49234.78,home_purchase,salaried,6421.98,0,145497.7,4,0,0,360,5.999,97783.64
61,42,1181595.71,590,0.3011,9928.24,business,salaried,784.54,0,20981.34,6,0,0,48,6.102,200000.0
46,24,75623.89,648,0.2648,18267.65,refinance,salaried,2330.32,4,129031.2,6,0,1,60,6.835,57288.25
22,4,66988.42,631,0.2399,15992.38,auto,self_employed,3035.59,1,36561.69,8,0,1,120,6.294,37517.0
41,19,64566.84,622,0.3079,18484.41,home_purchase,salaried,3101.42,2,15658.97,3,0,1,120,6.763,41245.41
33,8,63987.06,573,0.3279,23303.22,personal,salaried,2602.76,3,22741.59,4,0,0,48,6.709,37835.84
48,30,94575.57,582,0.3855,,medical,salaried,3388.1,0,65925.17,3,0,1,84,6.81,57241.66
32,11,38213.32,615,0.3117,13396.22,home_purchase,salaried,1983.33,0,8977.32,4,0,0,36,7.082,25176.48
38,19,93371.07,586,0.2736,,home_purchase,salaried,4944.21,0,59076.72,3,0,0,48,5.45,56703.32
