property_id,property_type,heating_type,parking_type,roof_type,has_pool,has_basement,hoa_flag,zipcode,builder_name,neighborhood,street_name,quality_grade,condition_grade,school_zone_grade,area_sqft,lot_size_sqft,num_bedrooms,num_bathrooms,garage_size,house_age,distance_to_city_center_km,distance_to_metro_km,school_rating,crime_index,median_neighborhood_income_k,nearby_hospitals_count,nearby_malls_count,annual_property_tax,hoa_fee,energy_efficiency_score,renovation_score,builder_reputation_score,random_hash_bucket,noise_feature_uniform,noise_feature_normal,sale_price
PROP_010257,Single_Family,Electric,Covered,Flat,No,No,Yes,ZIP_119,Builder_058,Neighborhood_15,Street_042,very_good,very_good,A+,3094.3,,5,5.6,1,52.0,10.4,5.01,10.0,0.0,136.62,2,0,5708.71,122.36,53.6,73.65,6.0,53,0.7702,0.3114,2014121.48
PROP_010872,Apartment,Gas,Garage,Tile,No,No,Yes,ZIP_008,,Neighborhood_37,Street_295,fair,excellent,C,1448.1,2270.6,2,3.0,1,32.6,7.52,3.93,2.19,6.69,38.47,2,0,1204.23,139.17,52.1,82.24,9.27,16,0.1241,-1.0857,516463.67
PROP_008337,Apartment,Gas,Driveway,Asphalt,No,Yes,Yes,ZIP_038,Builder_036,Neighborhood_57,Street_042,good,excellent,B,1597.9,1342.6,2,2.8,1,23.0,27.13,9.0,7.66,3.96,88.65,1,3,4074.07,125.7,55.85,77.63,10.0,457,0.6998,0.071,1408860.36
PROP_007579,Apartment,Heat_Pump,Street,Flat,No,No,No,ZIP_099,Builder_004,Neighborhood_14,Street_150,excellent,good,B,1621.0,2824.8,3,3.3,0,46.9,23.27,6.72,6.27,5.71,79.24,3,4,5903.81,0.0,70.88,61.53,9.57,323,0.6024,0.5174,1541752.23
PROP_001278,Condo,Heat_Pump,Garage,Metal,No,No,No,ZIP_100,Builder_052,Neighborhood_21,Street_049,excellent,fair,A+,1565.4,3002.7,3,2.1,1,37.0,4.01,3.89,9.1,0.0,131.58,4,3,5415.31,0.0,72.45,54.24,3.62,472,0.9102,-0.8542,1625347.43
PROP_000430,Apartment,Electric,Driveway,Asphalt,No,Yes,No,ZIP_119,Builder_073,Neighborhood_28,Street_003,very_good,very_good,C,1351.5,400.0,2,1.3,2,19.5,6.87,2.15,1.08,8.48,20.0,2,3,3435.76,0.0,65.04,96.62,10.0,235,0.632,-0.1629,993486.33
PROP_010292,Single_Family,Electric,Garage,Flat,No,No,No,ZIP_074,Builder_072,Neighborhood_18,Street_097,good,very_good,C,1279.8,4451.6,2,1.9,0,16.9,6.73,3.67,4.3,5.93,66.61,3,5,707.57,0.0,56.61,81.27,5.59,259,0.5333,-0.0982,471583.62
PROP_005503,Single_Family,Gas,Street,Asphalt,No,Yes,No,ZIP_074,,Neighborhood_54,Street_100,luxury,needs_work,C,1968.2,5368.6,4,3.3,1,51.4,5.32,2.87,3.06,6.39,46.01,3,2,4206.3,0.0,62.11,60.32,5.65,71,0.752,-1.5669,1196995.04
PROP_003502,Luxury_Villa,Heat_Pump,Driveway,Flat,No,No,No,ZIP_078,Builder_057,Neighborhood_52,Street_002,good,good,B,1591.9,8607.7,4,4.2,1,12.5,19.65,7.49,3.96,6.17,63.74,0,3,2570.41,0.0,56.88,82.41,10.0,278,0.3276,-0.1439,1485386.45
PROP_001840,Apartment,Oil,Garage,Tile,No,Yes,No,ZIP_034,Builder_069,Neighborhood_28,Street_109,very_good,needs_work,A,350.0,967.0,1,1.1,1,16.5,2.83,2.81,8.89,1.42,122.27,2,3,3647.67,0.0,67.12,57.83,9.31,301,0.3649,-0.6222,1079120.83
PROP_002577,Apartment,Electric,Garage,Flat,No,No,No,ZIP_105,,Neighborhood_29,Street_107,good,very_good,B,2806.8,,6,5.4,1,44.7,8.69,5.66,4.46,6.01,50.54,3,4,3713.82,0.0,55.96,73.88,,96,0.4358,-1.0434,1546348.26
PROP_007851,Townhouse,Gas,Driveway,Metal,No,No,No,ZIP_119,Builder_072,Neighborhood_59,Street_255,good,excellent,A+,1875.6,4172.0,5,2.2,1,23.2,24.72,10.93,10.0,0.0,137.44,3,1,4655.43,0.0,54.89,91.81,5.05,115,0.0816,1.3229,1449597.58
PROP_005801,Townhouse,Electric,Driveway,Asphalt,No,No,Yes,ZIP_061,Builder_077,Neighborhood_38,Street_046,fair,good,B,1210.3,5150.0,3,3.4,0,52.2,3.17,2.45,5.85,3.29,81.48,4,5,2692.72,156.66,44.18,51.71,5.2,288,0.8155,-2.0808,838075.22
PROP_002343,Apartment,Heat_Pump,Covered,Metal,Yes,No,Yes,ZIP_034,Builder_056,Neighborhood_16,Street_106,excellent,fair,A,1025.5,902.7,2,1.2,1,11.0,16.13,9.97,9.76,0.93,125.47,2,1,1763.18,115.78,59.37,79.79,4.48,76,0.8273,-0.0755,895852.46
PROP_002255,Townhouse,Gas,Garage,Tile,Yes,Yes,No,ZIP_008,,Neighborhood_03,Street_134,good,very_good,B,1216.5,1841.5,4,4.0,0,86.7,9.16,5.63,5.55,4.47,83.44,3,0,3222.96,0.0,40.75,51.75,5.28,52,0.3924,-0.3371,901398.86
PROP_008597,Single_Family,Gas,Covered,Tile,No,No,Yes,ZIP_116,Builder_069,Neighborhood_21,Street_044,very_good,good,B,2598.5,5963.4,6,5.6,0,28.6,6.33,4.58,5.92,3.57,93.64,1,2,5454.0,92.25,57.24,49.06,10.0,339,0.252,0.8836,1837599.0
PROP_005532,Single_Family,Heat_Pump,Garage,Asphalt,No,No,No,ZIP_033,Builder_004,Neighborhood_23,Street_156,good,very_good,A,2115.3,2303.5,3,1.1,1,20.6,9.97,2.52,6.32,4.02,100.76,1,3,3540.48,0.0,66.15,100.0,8.8,354,0.3461,0.8935,1368066.89
PROP_001324,Condo,Gas,Garage,Asphalt,No,No,Yes,ZIP_119,Builder_033,Neighborhood_50,Street_184,good,good,B,1689.3,6147.5,4,2.6,1,28.4,5.64,2.39,4.95,4.95,67.01,3,2,3301.08,84.73,56.41,49.61,5.89,339,0.5893,-0.9276,1039588.67
PROP_001792,Apartment,Electric,Garage,Asphalt,No,Yes,Yes,ZIP_054,Builder_018,Neighborhood_37,Street_233,good,good,A+,959.8,1933.9,3,3.0,2,66.0,22.8,5.24,9.26,2.16,140.52,2,5,1758.88,124.77,56.59,49.49,10.0,276,0.644,1.0822,920593.99
PROP_008553,Single_Family,Electric,Garage,Tile,No,Yes,Yes,ZIP_091,Builder_013,Neighborhood_29,Street_040,excellent,good,C,1682.1,5823.0,3,4.1,2,20.7,6.11,2.29,3.7,5.36,44.19,4,1,3391.23,117.28,62.32,75.83,4.42,258,0.7607,0.5592,1104664.01
PROP_000219,Single_Family,Heat_Pump,Street,Asphalt,No,No,No,ZIP_118,Builder_054,Neighborhood_11,Street_172,,very_good,A,950.5,4867.2,2,2.1,1,18.3,13.19,4.25,7.82,2.11,88.24,2,4,3937.06,0.0,54.31,90.01,6.55,181,0.9918,-0.1604,1132836.7
PROP_000294,Single_Family,Electric,Driveway,Tile,No,Yes,Yes,ZIP_114,Builder_069,Neighborhood_50,Street_240,good,very_good,A,1546.6,7722.1,3,3.1,1,24.7,25.14,8.45,5.41,5.28,67.14,4,2,2122.06,111.31,66.2,88.15,8.1,401,0.2899,0.3981,913395.56
PROP_002289,Apartment,Gas,Covered,Asphalt,No,No,Yes,ZIP_050,Builder_056,Neighborhood_45,Street_231,good,very_good,A,1250.8,2785.2,3,3.4,1,26.5,22.56,4.21,7.65,3.49,101.41,3,4,3968.55,91.36,60.04,75.52,4.42,1,0.38,-1.5336,1239697.46
PROP_010545,Townhouse,Electric,Covered,Flat,No,No,No,ZIP_087,Builder_029,Neighborhood_08,Street_068,good,fair,A+,1601.0,3835.0,3,3.2,1,30.5,5.98,4.22,10.0,0.0,129.29,3,3,1457.71,0.0,66.03,52.47,3.05,277,0.4266,0.095,1172875.88
PROP_001403,Single_Family,Gas,Garage,Asphalt,No,No,No,ZIP_120,Builder_027,Neighborhood_07,Street_161,good,needs_work,A+,1987.5,5020.1,3,3.6,1,35.2,23.36,2.77,9.47,1.25,132.85,3,2,3849.3,0.0,57.05,50.04,8.35,306,0.1809,1.3804,1250556.0
PROP_009623,Single_Family,Heat_Pump,Garage,Asphalt,No,Yes,No,ZIP_037,Builder_029,Neighborhood_15,Street_110,,needs_work,A,1307.3,2991.7,2,3.2,0,11.8,2.06,5.37,7.06,4.13,83.38,2,3,2687.12,0.0,53.31,79.34,,24,0.4994,1.0149,1211641.85
PROP_005749,Apartment,Heat_Pump,Street,Tile,No,No,Yes,ZIP_038,Builder_065,Neighborhood_18,Street_106,fair,fair,B,1768.2,3926.5,3,2.3,2,33.9,13.51,3.33,4.26,5.7,72.09,6,1,3081.89,58.21,40.53,53.83,10.0,289,0.5724,0.439,897029.32
PROP_005033,Single_Family,Electric,Garage,Tile,No,Yes,No,ZIP_042,Builder_020,Neighborhood_59,Street_027,good,very_good,A,2608.4,,6,6.0,2,21.5,2.73,2.44,7.41,3.78,105.94,6,5,3158.15,0.0,59.2,89.38,10.0,197,0.8468,0.232,1494866.21
PROP_007832,Condo,Gas,Garage,Asphalt,No,Yes,No,ZIP_055,Builder_073,Neighborhood_54,Street_295,excellent,good,B,1816.4,3179.6,5,3.0,1,26.5,2.28,1.71,4.12,5.77,60.58,4,3,5041.23,0.0,67.58,77.09,10.0,246,0.1093,1.9491,1557873.43
PROP_011523,Apartment,Gas,Street,Tile,No,No,No,ZIP_029,Builder_046,Neighborhood_50,Street_111,fair,good,B,2113.8,3388.7,4,4.4,0,26.3,14.34,8.59,3.73,6.11,45.76,4,1,600.0,0.0,58.58,77.98,,464,0.2983,0.8437,558026.13
PROP_008445,Apartment,Gas,Garage,Asphalt,No,No,Yes,ZIP_073,Builder_072,Neighborhood_32,Street_288,very_good,very_good,B,1660.2,4084.8,5,3.4,2,24.7,29.68,11.01,5.23,7.98,59.19,4,3,3841.39,154.56,56.47,83.45,,135,0.207,-0.7214,1070701.77
PROP_006115,Apartment,Heat_Pump,Driveway,Asphalt,Yes,No,Yes,ZIP_012,Builder_009,Neighborhood_44,Street_269,fair,fair,B,2187.1,3881.0,6,5.1,1,18.8,14.95,6.6,6.78,2.87,110.57,0,3,3192.28,124.85,64.16,65.58,4.98,368,0.1494,1.5309,1455317.19
PROP_006791,Single_Family,Gas,Garage,Tile,No,No,Yes,ZIP_083,,Neighborhood_03,Street_206,very_good,good,B,5566.7,6665.8,9,6.9,1,60.0,6.74,3.52,5.25,5.51,60.19,2,4,5593.33,144.08,58.73,56.0,8.33,367,0.6587,-0.9117,2333042.57
PROP_004048,Single_Family,Gas,Garage,Tile,No,Yes,Yes,ZIP_021,Builder_008,Neighborhood_46,Street_150,good,good,B,1651.3,4628.4,3,1.7,2,36.6,4.81,4.05,3.93,5.97,46.6,3,1,2733.59,140.99,50.45,68.47,8.1,388,0.214,0.2105,890465.47
PROP_004398,Single_Family,Heat_Pump,Covered,Asphalt,No,No,Yes,ZIP_101,Builder_063,Neighborhood_44,Street_081,good,good,A+,1680.6,3855.7,3,3.0,1,54.3,13.82,4.26,10.0,0.76,161.9,3,3,4370.71,98.36,49.29,65.4,5.17,116,0.8075,1.8758,1612465.0
PROP_005887,Apartment,Heat_Pump,Garage,Asphalt,No,No,No,ZIP_109,Builder_069,Neighborhood_07,Street_280,good,good,A+,1446.3,4949.5,3,2.2,1,28.9,4.88,3.33,10.0,0.0,156.21,4,2,4952.01,0.0,49.96,61.99,6.74,9,0.3952,0.6027,1566177.24
PROP_003579,Townhouse,Heat_Pump,Driveway,Metal,No,No,Yes,ZIP_052,Builder_053,Neighborhood_24,Street_103,very_good,good,A,1695.3,4410.0,5,3.6,1,50.2,7.67,4.91,7.17,2.95,114.15,5,3,3272.57,127.61,69.82,71.49,9.29,325,0.4569,0.8191,1076168.52
PROP_002936,Single_Family,Heat_Pump,Driveway,Asphalt,No,Yes,No,ZIP_067,Builder_052,Neighborhood_16,Street_014,very_good,good,A,840.1,1741.1,1,1.5,2,25.0,30.64,1.99,5.52,5.26,80.29,4,0,3841.06,0.0,66.0,60.29,7.91,284,0.3517,-0.8797,1120807.55
PROP_006509,Single_Family,Gas,Garage,Metal,Yes,Yes,No,ZIP_023,Builder_001,Neighborhood_48,Street_067,fair,needs_work,B,2068.0,4823.5,4,3.8,1,31.3,2.67,2.91,5.06,4.81,66.44,0,5,2633.51,0.0,50.4,73.91,10.0,441,0.6975,-0.4981,1289240.28
PROP_010296,Apartment,Heat_Pump,Garage,Asphalt,No,No,No,ZIP_070,Builder_017,Neighborhood_33,Street_198,good,fair,B,1296.0,815.0,3,4.0,2,37.6,10.86,0.97,6.91,3.16,95.96,3,1,1193.69,0.0,47.69,39.84,,98,0.1007,0.0543,669439.68
PROP_002453,Townhouse,Gas,Street,Asphalt,No,No,No,ZIP_071,Builder_049,Neighborhood_54,Street_238,,good,A+,1072.2,1274.9,2,3.2,1,37.5,18.33,8.08,9.39,0.65,136.73,4,2,4217.3,0.0,51.98,66.59,10.0,348,0.5966,-1.9573,1138001.18
PROP_003354,Single_Family,Heat_Pump,Street,Asphalt,No,Yes,No,ZIP_081,Builder_064,Neighborhood_52,Street_226,good,excellent,B,2070.5,6865.9,4,3.6,1,22.4,6.18,3.07,9.34,0.74,133.71,4,5,4517.22,0.0,66.0,83.27,7.37,135,0.6934,0.2093,1634725.92
PROP_004289,Single_Family,Heat_Pump,Driveway,Metal,No,No,No,ZIP_070,Builder_021,Neighborhood_24,Street_190,very_good,good,A,2097.4,10427.4,4,3.0,1,21.5,46.75,18.0,8.5,3.73,103.75,4,2,2435.06,0.0,63.52,61.49,10.0,339,0.8347,-1.0536,1052208.7
PROP_003622,Condo,Oil,Driveway,Asphalt,No,Yes,Yes,ZIP_045,Builder_035,Neighborhood_16,Street_277,very_good,fair,C,1284.0,,2,2.3,1,31.0,9.58,5.29,4.1,7.3,52.29,5,3,600.0,136.7,52.18,58.09,10.0,495,0.2597,0.1817,555627.14
PROP_001251,Apartment,Heat_Pump,Driveway,Metal,No,No,Yes,ZIP_069,,Neighborhood_32,Street_226,excellent,very_good,A,951.1,1726.8,2,2.5,1,72.1,4.35,2.29,9.24,0.75,128.89,0,2,3490.68,135.22,62.76,61.46,7.78,386,0.1958,-0.1072,1127891.02
PROP_001154,Townhouse,Gas,Driveway,Tile,No,Yes,No,ZIP_101,Builder_044,Neighborhood_39,Street_042,fair,fair,A,1680.2,3553.1,3,3.2,2,8.8,27.4,5.25,7.23,4.61,97.0,3,5,4288.64,0.0,53.2,63.56,10.0,231,0.5044,-0.119,1303861.01
PROP_001955,Single_Family,Electric,Driveway,Asphalt,Yes,Yes,No,ZIP_116,Builder_023,Neighborhood_32,Street_142,excellent,very_good,A+,1423.4,,3,1.8,1,19.4,14.47,8.67,10.0,1.17,129.06,4,1,3645.06,0.0,60.57,100.0,10.0,319,0.5755,1.2497,1447678.36
PROP_006513,Apartment,Electric,Covered,Metal,No,No,No,ZIP_095,Builder_043,Neighborhood_49,Street_268,fair,very_good,B,1165.8,,3,4.3,0,30.5,2.47,0.66,4.43,5.1,76.31,2,2,600.0,0.0,57.33,72.64,7.82,310,0.936,-0.7973,517740.67
PROP_003400,Apartment,Electric,Garage,Tile,No,No,No,ZIP_021,Builder_036,Neighborhood_14,Street_035,very_good,good,A,1217.6,1211.8,3,2.3,1,16.8,14.74,3.99,8.43,0.96,125.83,7,2,4515.85,0.0,74.76,66.41,10.0,97,0.2311,-0.4259,1250207.74
PROP_001218,Apartment,Electric,Driveway,Asphalt,Yes,Yes,No,ZIP_023,Builder_038,Neighborhood_14,Street_213,good,very_good,A+,1426.1,6141.5,4,4.4,0,26.5,22.64,11.4,8.4,2.69,110.03,2,4,2460.07,0.0,47.8,88.86,8.72,439,0.8726,0.517,1188961.48
PROP_002341,Single_Family,Gas,Covered,Asphalt,No,Yes,Yes,ZIP_097,Builder_053,Neighborhood_40,Street_090,very_good,very_good,B,2678.5,6813.7,4,3.5,1,37.0,3.86,5.92,4.41,5.91,78.23,1,3,752.84,128.22,66.67,81.0,9.08,370,0.3984,-1.0615,924925.84
PROP_003685,Apartment,Gas,Garage,Tile,No,Yes,No,ZIP_111,Builder_048,Neighborhood_20,Street_014,very_good,fair,C,1714.6,3976.7,3,2.5,1,24.6,14.53,7.68,3.08,6.24,38.81,4,1,3748.01,0.0,49.33,89.48,6.1,59,0.2725,1.0726,1056403.15
PROP_004994,Single_Family,Electric,Garage,Tile,No,No,No,ZIP_100,Builder_022,Neighborhood_60,Street_147,excellent,good,C,1147.7,3851.4,1,1.7,2,33.4,19.03,4.7,1.15,10.0,21.52,3,2,2449.11,0.0,60.88,69.34,5.23,315,0.6421,-0.0612,572504.65
PROP_009241,Luxury_Villa,Oil,Driveway,Asphalt,Yes,Yes,Yes,ZIP_034,Builder_061,Neighborhood_31,Street_055,good,very_good,B,2001.6,6558.8,4,3.3,1,21.2,14.4,3.3,6.4,4.58,92.77,2,2,8787.72,104.27,49.11,80.41,8.82,385,0.5407,-1.0589,2094086.0
PROP_007911,Apartment,Gas,Garage,Tile,No,No,Yes,ZIP_034,Builder_053,Neighborhood_39,Street_190,good,good,A+,2448.9,5026.1,5,1.9,0,32.8,14.4,1.66,8.91,1.26,143.08,3,3,4830.84,109.44,44.94,61.87,7.56,85,0.0215,1.2599,1565881.86
PROP_007445,Single_Family,Electric,Garage,Metal,Yes,Yes,No,ZIP_087,Builder_080,Neighborhood_52,Street_241,excellent,good,A+,1049.5,3160.9,3,1.6,2,10.2,10.83,2.63,9.83,0.0,139.16,1,0,2502.01,0.0,61.29,83.37,10.0,32,0.6184,1.155,1400469.42
PROP_005884,Single_Family,Electric,Driveway,Tile,No,No,No,ZIP_048,Builder_024,Neighborhood_51,Street_007,very_good,good,C,2091.8,4601.0,5,1.0,2,13.1,10.91,3.49,4.64,4.67,66.85,3,0,2107.24,0.0,66.98,89.56,10.0,143,0.4419,0.1234,874806.34
PROP_007439,Townhouse,Gas,Driveway,Asphalt,Yes,No,Yes,ZIP_025,Builder_039,Neighborhood_57,Street_128,good,good,C,1968.4,6079.6,4,2.6,1,10.6,18.43,3.74,5.33,5.85,75.3,6,2,3071.01,108.71,61.04,75.52,7.89,183,0.2483,0.0076,1187742.11
PROP_003890,Condo,Heat_Pump,Garage,Asphalt,No,No,No,ZIP_032,Builder_034,Neighborhood_46,Street_006,very_good,good,C,1157.4,3005.6,3,2.9,1,55.4,20.89,10.14,4.23,8.41,52.49,2,0,2054.22,0.0,54.33,51.27,,247,0.4998,-0.3942,546224.74
PROP_011075,Apartment,Electric,Garage,Metal,No,Yes,No,ZIP_027,,Neighborhood_37,Street_079,excellent,very_good,C,1412.5,3861.6,2,1.3,1,43.3,15.33,5.13,3.38,8.73,43.14,5,3,1361.01,0.0,66.92,57.58,10.0,324,0.5359,-0.3647,660754.76
PROP_006418,Single_Family,Electric,Driveway,Asphalt,Yes,Yes,No,ZIP_118,Builder_009,Neighborhood_21,Street_109,good,good,A,1985.5,3640.3,4,3.0,1,27.2,12.87,4.64,7.52,3.16,114.26,4,2,3609.63,0.0,53.26,77.57,5.29,467,0.806,0.711,1339527.28
PROP_001741,Apartment,Gas,Driveway,Metal,No,Yes,Yes,ZIP_028,Builder_011,Neighborhood_16,Street_075,good,fair,A+,1108.1,2044.1,1,1.0,1,62.4,31.9,4.3,10.0,1.11,143.55,3,1,3072.81,112.66,47.25,54.4,3.59,438,0.8132,1.5208,1003738.64
PROP_001415,Condo,Heat_Pump,Garage,Tile,No,No,No,ZIP_008,Builder_016,Neighborhood_47,Street_121,good,fair,C,843.7,1125.3,3,3.5,0,21.8,14.96,6.31,4.82,5.64,74.46,3,2,4868.47,0.0,65.74,74.51,10.0,360,0.2659,-1.1936,964899.29
PROP_004061,Single_Family,Gas,Garage,Tile,No,Yes,No,ZIP_034,Builder_049,Neighborhood_02,Street_282,,good,A,2734.4,11036.7,4,4.2,2,28.9,21.52,6.91,8.29,2.13,123.85,1,4,5367.55,0.0,53.11,74.72,10.0,463,0.1667,0.0405,1523939.71
PROP_005020,Single_Family,Gas,Garage,Tile,No,No,No,ZIP_095,Builder_037,Neighborhood_29,Street_071,excellent,good,A,1189.9,3583.0,3,4.5,2,38.2,6.68,2.86,7.82,4.13,118.94,3,3,1921.82,0.0,54.98,86.51,7.84,124,0.2127,-0.1434,880879.73
PROP_007781,Townhouse,Gas,Garage,Metal,No,No,Yes,ZIP_109,Builder_037,Neighborhood_60,Street_056,good,good,A,1662.8,2574.4,3,1.5,1,18.9,20.1,10.04,7.33,3.6,105.37,2,3,3887.14,74.15,71.79,66.6,6.69,216,0.516,1.2825,1069308.16
PROP_002251,Single_Family,Oil,Garage,Asphalt,No,No,No,ZIP_017,Builder_023,Neighborhood_08,Street_162,excellent,fair,A+,1384.7,3080.6,3,2.7,0,61.4,15.71,4.72,8.21,2.41,122.78,5,2,3616.08,0.0,48.05,33.32,4.55,182,0.1059,-0.8673,1116314.45
PROP_002358,Single_Family,Electric,Garage,Asphalt,No,Yes,No,ZIP_042,Builder_037,Neighborhood_15,Street_250,good,good,C,2897.7,3955.1,8,7.0,2,52.4,6.84,3.31,3.63,6.4,62.87,5,4,5413.79,0.0,53.02,70.03,8.68,485,0.0109,0.4424,1613546.74
PROP_002639,Single_Family,Gas,Garage,Flat,No,Yes,No,ZIP_013,,Neighborhood_53,Street_209,good,very_good,A,1584.0,3852.8,3,2.9,2,54.8,13.69,6.69,9.88,1.11,125.18,1,2,3882.94,0.0,42.96,81.47,7.9,385,0.4891,0.8553,1264673.48
PROP_011687,Apartment,Oil,Street,Flat,No,No,Yes,ZIP_071,Builder_073,Neighborhood_07,Street_183,excellent,good,B,1122.8,1593.1,2,1.9,0,34.4,11.42,4.94,4.77,5.22,72.25,2,2,3835.05,116.05,65.98,69.61,10.0,91,0.4313,-0.8104,959986.17
PROP_000201,Apartment,Heat_Pump,Garage,Asphalt,No,Yes,Yes,ZIP_006,Builder_066,Neighborhood_03,Street_219,luxury,good,A,1418.9,3329.6,3,2.6,2,35.4,8.06,5.29,9.14,1.95,133.28,3,1,3765.81,66.3,66.07,59.06,9.98,194,0.9009,1.2044,1423147.23
PROP_009417,Apartment,Electric,Driveway,Asphalt,No,Yes,No,ZIP_120,Builder_049,Neighborhood_39,Street_247,good,excellent,B,2415.0,1650.0,6,5.3,1,28.9,15.74,6.03,3.3,7.84,48.3,0,3,3852.4,0.0,51.17,67.86,10.0,13,0.1426,0.7321,1357035.3
PROP_002475,Condo,Gas,Covered,Metal,No,No,No,ZIP_109,Builder_007,Neighborhood_55,Street_223,very_good,very_good,B,1448.4,3314.5,2,2.0,1,39.7,17.92,4.89,6.46,4.33,98.96,0,2,1820.87,0.0,52.17,59.17,10.0,346,0.6341,-0.259,789069.88
PROP_011943,Apartment,Heat_Pump,Driveway,Metal,No,No,Yes,ZIP_098,Builder_005,Neighborhood_10,Street_194,excellent,good,B,909.4,1729.9,2,1.9,2,37.6,14.52,9.07,4.87,6.25,57.32,4,1,3129.81,106.39,49.57,62.05,7.04,311,0.9129,1.4937,918566.89
PROP_005096,Apartment,Heat_Pump,Garage,Asphalt,No,Yes,Yes,ZIP_018,Builder_049,Neighborhood_42,Street_145,luxury,fair,A,838.0,2141.7,2,2.4,2,21.0,9.01,4.78,8.84,0.26,127.47,2,1,3978.38,110.22,77.93,63.89,10.0,276,0.1067,1.5691,1318540.04
PROP_005621,Single_Family,Gas,Garage,Metal,No,No,Yes,ZIP_033,Builder_025,Neighborhood_16,Street_005,fair,good,B,2439.1,8712.5,5,4.9,2,55.3,18.93,3.85,6.84,3.62,81.74,6,3,3840.95,56.95,52.24,63.33,9.2,53,0.912,-0.368,1320932.21
PROP_010605,Apartment,Gas,Garage,Asphalt,No,Yes,No,ZIP_003,Builder_011,Neighborhood_16,Street_202,excellent,fair,A+,1883.4,4321.3,4,3.5,1,15.4,14.13,3.71,9.46,1.61,132.57,3,5,6948.54,0.0,69.94,78.05,5.0,430,0.8794,-1.5435,1837748.59
