customer_id,monthly_recharge_amount,call_duration,data_usage,roaming_usage,complaint_count,sms_count,payment_delay,plan_type
CUST_00053,1016.39,714.0,39.41,1.71,0,202.0,0.7,Premium
CUST_00054,347.25,224.0,9.36,0.5,4,192.0,2.0,Standard
CUST_00055,429.01,199.0,9.7,0.32,0,169.0,0.2,Standard
CUST_00056,222.05,292.0,8.83,0.64,4,181.0,47.4,Standard
CUST_00057,395.15,298.0,11.18,0.22,0,194.0,4.0,Standard
CUST_00058,653.1,262.0,70.68,0.92,0,126.0,2.7,Data Plan
CUST_00059,448.61,331.0,9.4,0.14,0,164.0,1.4,Standard
CUST_00060,443.85,221.0,7.64,0.07,1,149.0,3.1,Standard
CUST_00061,166.5,122.0,1.54,0.09,0,65.0,0.0,Prepaid
CUST_00062,511.05,244.0,3.55,0.4,2,90.0,1.4,Standard
CUST_00063,911.76,392.0,12.82,7.82,2,115.0,0.2,Standard
CUST_00064,155.24,116.0,2.68,0.06,0,63.0,0.2,Basic
CUST_00065,110.64,110.0,1.87,0.18,0,49.0,1.7,Prepaid
CUST_00066,181.59,330.0,10.57,0.38,2,116.0,4.9,Standard
CUST_00067,319.81,323.0,9.15,0.37,0,160.0,0.2,Standard
CUST_00068,627.07,251.0,75.46,1.4,0,98.0,0.2,Data Plan
CUST_00069,1065.93,465.0,13.84,10.16,1,80.0,0.9,International
CUST_00070,359.49,404.0,13.69,0.34,0,161.0,6.2,Standard
CUST_00071,970.0,596.0,53.02,2.08,0,153.0,0.4,Premium
CUST_00072,150.89,108.0,2.37,0.16,0,57.0,0.8,Basic
CUST_00073,366.11,424.0,6.62,0.41,1,150.0,0.5,Postpaid
CUST_00074,415.62,309.0,10.94,0.23,0,196.0,0.4,Standard
CUST_00075,494.14,269.0,5.41,0.3,0,134.0,4.9,Standard
CUST_00076,318.92,269.0,3.23,0.54,2,171.0,2.2,Standard
CUST_00077,129.57,98.0,1.96,0.1,1,35.0,1.4,Basic
CUST_00078,957.81,406.0,17.95,8.51,2,117.0,8.6,Standard
CUST_00079,957.2,258.0,99.77,0.87,0,91.0,6.2,Data Plan
CUST_00080,438.39,276.0,14.5,0.44,0,114.0,2.4,Postpaid
CUST_00081,988.18,262.0,62.26,0.8,0,84.0,0.8,Data Plan
CUST_00082,112.45,112.0,2.39,0.03,0,71.0,0.3,Basic
CUST_00083,1246.66,627.0,54.37,1.45,0,235.0,2.1,Unlimited
CUST_00084,270.57,332.0,10.35,0.39,2,159.0,0.3,Postpaid
CUST_00085,1332.74,542.0,29.21,2.12,1,201.0,0.5,Premium
CUST_00086,346.28,327.0,8.13,0.16,0,206.0,2.0,Postpaid
CUST_00087,407.2,268.0,12.12,0.06,2,212.0,0.8,Postpaid
CUST_00088,350.05,369.0,10.15,0.28,0,122.0,0.9,Postpaid
CUST_00089,962.26,206.0,63.99,1.0,1,75.0,2.5,Data Plan
CUST_00090,255.07,287.0,7.78,0.42,6,151.0,6.9,Standard
CUST_00091,332.91,168.0,9.98,0.46,2,104.0,5.5,Standard
CUST_00092,310.57,260.0,7.42,0.39,3,126.0,2.2,Basic
CUST_00093,703.01,224.0,72.66,1.27,0,73.0,0.6,Data Plan
CUST_00094,149.23,86.0,2.35,0.09,1,58.0,1.0,Basic
CUST_00095,469.99,369.0,12.08,,1,176.0,0.9,Postpaid
CUST_00096,495.0,320.0,9.82,0.12,0,92.0,0.7,Standard
CUST_00097,781.97,258.0,80.59,0.87,3,60.0,0.5,Data Plan
CUST_00098,433.75,266.0,4.74,0.46,0,80.0,3.4,Standard
CUST_00099,510.54,315.0,11.94,0.08,0,122.0,17.2,Standard
CUST_00100,391.88,233.0,9.8,0.8,5,144.0,10.5,Standard
CUST_00101,184.48,106.0,1.5,0.0,0,46.0,0.6,Basic
CUST_00102,1136.72,628.0,44.3,1.31,1,252.0,0.3,Unlimited
CUST_00103,1132.05,843.0,45.68,1.31,0,295.0,1.7,Premium
CUST_00104,262.36,255.0,13.69,0.91,3,84.0,21.1,Basic
CUST_00105,569.37,325.0,15.72,5.83,0,89.0,0.5,International
CUST_00106,480.29,349.0,10.25,0.18,1,121.0,3.0,Postpaid
CUST_00107,173.8,100.0,1.83,0.03,0,28.0,0.4,Prepaid
CUST_00108,379.52,275.0,7.03,0.2,0,164.0,11.0,Standard
CUST_00109,604.47,198.0,99.72,0.83,0,113.0,3.4,Data Plan
CUST_00110,462.57,272.0,9.32,0.29,0,186.0,0.9,Standard
CUST_00111,1459.53,672.0,43.55,1.87,0,139.0,0.0,Unlimited
CUST_00112,690.72,523.0,21.84,7.99,0,94.0,2.5,Standard
CUST_00113,389.67,298.0,9.67,0.31,0,214.0,3.3,Standard
CUST_00114,115.71,91.0,1.97,0.1,1,88.0,1.7,Basic
CUST_00115,742.23,188.0,78.76,1.08,0,72.0,1.0,Data Plan
CUST_00116,239.54,349.0,7.7,0.35,1,131.0,2.9,Standard
CUST_00117,392.33,250.0,4.36,0.41,4,116.0,5.5,Basic
CUST_00118,4571.15,121.0,2.12,31.96,14,55.0,0.0,Basic
CUST_00119,353.53,203.0,10.93,0.21,0,103.0,0.4,Standard
CUST_00120,372.09,216.0,7.64,0.36,1,206.0,2.9,Standard
CUST_00121,217.53,331.0,7.73,0.7,2,137.0,0.7,Basic
CUST_00122,514.36,389.0,6.7,0.33,0,113.0,4.7,Standard
CUST_00123,488.17,227.0,12.28,0.73,3,201.0,3.9,Standard
CUST_00124,1497.29,633.0,37.86,1.48,2,202.0,0.1,Premium
CUST_00125,502.94,328.0,8.98,0.13,0,213.0,0.4,Postpaid
CUST_00126,968.75,671.0,47.98,1.99,1,227.0,0.5,Premium
CUST_00127,400.39,416.0,12.08,0.51,0,187.0,2.4,Standard
CUST_00128,463.49,302.0,9.18,0.37,0,140.0,2.8,Standard
CUST_00129,1013.23,270.0,79.91,1.02,0,88.0,0.4,Unlimited
CUST_00130,144.44,107.0,3.47,0.1,0,71.0,0.7,Basic
CUST_00131,1002.24,527.0,14.71,7.78,0,77.0,6.0,International
CUST_00132,634.88,248.0,12.07,0.3,1,199.0,1.2,Standard
CUST_00133,158.11,112.0,1.41,0.18,0,64.0,0.1,Basic
CUST_00134,1329.65,562.0,59.09,2.48,0,228.0,0.3,Premium
CUST_00135,363.52,219.0,13.29,0.01,3,177.0,3.2,Standard
CUST_00136,781.27,225.0,84.16,0.57,2,91.0,0.3,Data Plan
CUST_00137,158.88,117.0,2.3,0.04,0,52.0,2.6,Prepaid
CUST_00138,756.66,507.0,12.54,8.16,1,73.0,9.0,Standard
CUST_00139,128.5,143.0,2.32,0.11,0,58.0,0.4,Prepaid
CUST_00140,913.22,244.0,90.23,1.73,1,78.0,1.2,Unlimited
CUST_00141,172.56,95.0,1.48,0.08,0,71.0,0.4,Basic
CUST_00142,531.56,243.0,1.85,0.46,3,60.0,6.1,Basic
CUST_00143,594.58,463.0,21.88,5.99,0,129.0,3.0,International
CUST_00144,118.27,113.0,0.58,0.06,0,34.0,0.3,Basic
CUST_00145,175.22,312.0,11.59,0.3,4,217.0,4.2,Standard
CUST_00146,755.36,287.0,14.58,7.4,1,56.0,0.4,Standard
CUST_00147,1036.58,661.0,53.16,1.79,0,194.0,0.8,Unlimited
CUST_00148,135.97,106.0,1.99,0.18,0,53.0,2.3,Prepaid
CUST_00149,178.03,140.0,0.9,0.04,0,45.0,0.9,Basic
CUST_00150,1284.05,569.0,48.21,1.1,0,199.0,0.4,Premium
CUST_00151,1012.3,427.0,14.98,,1,122.0,2.8,International
CUST_00152,867.19,363.0,12.49,6.39,1,174.0,7.4,International
CUST_00153,449.03,275.0,10.73,0.36,1,79.0,0.7,Standard
CUST_00154,257.61,387.0,6.55,0.46,3,87.0,4.4,Basic
CUST_00155,1037.42,653.0,55.37,2.04,0,264.0,0.1,Premium
CUST_00156,866.27,401.0,16.55,6.72,2,105.0,0.5,International
CUST_00157,1130.58,492.0,37.94,2.93,1,186.0,0.7,Unlimited
CUST_00158,205.57,76.0,1.29,0.08,0,44.0,3.9,Basic
CUST_00159,1466.98,452.0,58.06,2.1,0,144.0,0.0,Unlimited
CUST_00160,475.93,358.0,14.14,0.2,0,151.0,0.7,Standard
CUST_00161,141.25,88.0,2.4,0.07,0,19.0,0.2,Basic
CUST_00162,391.37,246.0,12.53,0.47,2,84.0,0.7,Standard
CUST_00163,323.68,248.0,10.27,0.59,1,69.0,5.0,Basic
CUST_00164,164.18,87.0,2.48,0.13,0,61.0,0.3,Basic
CUST_00165,330.45,286.0,9.66,0.31,1,118.0,1.7,Standard
CUST_00166,206.59,77.0,1.85,0.22,1,59.0,0.4,Basic
CUST_00167,678.83,232.0,102.93,1.1,1,92.0,1.7,Data Plan
CUST_00168,763.33,166.0,92.64,0.79,2,74.0,0.2,Unlimited
CUST_00169,338.19,182.0,10.34,0.77,4,192.0,11.3,Standard
CUST_00170,459.77,273.0,9.32,0.37,0,112.0,4.0,Standard
CUST_00171,129.54,95.0,2.28,0.15,0,52.0,0.8,Basic
CUST_00172,1052.4,264.0,79.31,0.88,0,82.0,1.3,Data Plan
CUST_00173,856.46,423.0,13.51,5.07,2,86.0,8.6,International
CUST_00174,774.39,426.0,16.06,2.3,1,45.0,1.5,International
CUST_00175,165.58,74.0,2.15,0.14,1,15.0,0.9,Basic
CUST_00176,149.37,150.0,1.35,0.0,0,84.0,0.3,Basic
CUST_00177,285.92,231.0,13.53,0.14,1,186.0,0.9,Standard
CUST_00178,888.12,170.0,90.01,1.54,1,111.0,0.1,Data Plan
CUST_00179,1377.5,692.0,51.12,1.32,0,204.0,0.2,Unlimited
CUST_00180,1091.69,665.0,39.75,1.69,0,134.0,0.0,Premium
CUST_00181,363.85,244.0,3.19,0.26,1,92.0,0.0,Standard
CUST_00182,543.18,235.0,10.41,0.47,0,146.0,7.2,Standard
CUST_00183,1204.33,657.0,35.96,2.06,0,143.0,0.7,Unlimited
CUST_00184,427.01,272.0,9.51,0.23,0,162.0,4.4,Postpaid
CUST_00185,1091.98,44.0,1.87,44.08,0,169.0,0.3,Premium
CUST_00186,386.12,232.0,9.52,0.33,5,149.0,12.6,Standard
CUST_00187,164.14,120.0,2.86,0.11,0,31.0,0.1,Basic
CUST_00188,306.85,262.0,8.57,0.33,4,58.0,4.3,Standard
CUST_00189,397.98,347.0,11.56,0.41,3,137.0,5.1,Standard
CUST_00190,161.97,65.0,2.18,0.11,0,62.0,1.1,Prepaid
CUST_00191,371.74,157.0,8.64,0.39,3,155.0,3.6,Basic
CUST_00192,448.93,237.0,8.38,0.42,16,204.0,84.7,Standard
CUST_00193,511.09,319.0,11.42,0.21,0,108.0,2.2,Postpaid
CUST_00194,379.94,296.0,11.03,0.29,1,141.0,4.4,Standard
CUST_00195,285.2,347.0,14.3,0.9,4,98.0,10.4,Basic
CUST_00196,998.46,648.0,61.3,1.92,0,185.0,0.4,Unlimited
CUST_00197,152.28,101.0,1.61,0.1,0,39.0,1.1,Basic
CUST_00198,471.31,297.0,8.51,0.34,1,192.0,1.3,Standard
CUST_00199,153.84,52.0,2.76,0.05,0,46.0,0.6,Prepaid
CUST_00200,473.6,223.0,10.49,0.29,0,143.0,11.3,Postpaid
CUST_00201,1336.04,659.0,45.42,2.4,2,291.0,0.2,Premium
CUST_00202,862.22,218.0,86.71,0.94,0,90.0,2.5,Data Plan
CUST_00203,173.24,105.0,1.56,0.08,0,31.0,0.7,Basic
CUST_00204,494.78,259.0,10.65,0.25,0,174.0,1.8,Standard
CUST_00205,1150.12,224.0,62.58,1.01,1,78.0,4.4,Data Plan
CUST_00206,117.55,99.0,1.71,0.03,0,29.0,1.7,Basic
CUST_00207,271.84,195.0,10.2,0.62,3,112.0,4.2,Basic
CUST_00208,152.98,94.0,2.17,0.0,0,41.0,0.9,Basic
CUST_00209,270.17,228.0,8.87,0.27,7,113.0,4.6,Basic
CUST_00210,182.96,145.0,1.13,0.16,0,31.0,0.1,Prepaid
CUST_00211,400.26,360.0,9.11,0.37,0,182.0,0.6,Standard
CUST_00212,369.12,203.0,5.1,0.34,2,133.0,12.9,Standard
CUST_00213,305.25,421.0,3.64,0.63,3,125.0,16.4,Basic
CUST_00214,894.1,181.0,58.24,1.01,0,52.0,0.2,Data Plan
CUST_00215,1232.91,447.0,54.71,2.02,1,230.0,0.1,Unlimited
CUST_00216,421.78,303.0,7.01,0.92,1,87.0,,Basic
CUST_00217,778.63,326.0,14.93,10.81,1,105.0,0.1,International
CUST_00218,662.09,375.0,13.84,7.34,0,104.0,4.0,Standard
CUST_00219,338.27,247.0,5.2,0.56,2,134.0,0.1,Basic
CUST_00220,375.15,228.0,10.83,0.27,1,104.0,2.2,Standard
CUST_00221,516.29,204.0,4.33,0.69,0,105.0,2.3,Basic
CUST_00222,873.94,543.0,13.13,10.21,1,100.0,1.2,International
CUST_00223,50.44,264.0,8.77,0.79,5,122.0,0.2,Basic
CUST_00224,126.9,82.0,1.22,0.1,1,61.0,0.3,Prepaid
CUST_00225,1261.3,153.0,67.96,1.11,0,54.0,0.4,Unlimited
CUST_00226,443.04,373.0,11.91,0.23,0,126.0,0.1,Standard
CUST_00227,377.93,286.0,9.35,0.49,2,99.0,30.4,Basic
CUST_00228,397.28,284.0,9.39,0.54,2,26.0,8.1,Basic
CUST_00229,474.05,171.0,6.44,0.35,0,126.0,1.1,Standard
CUST_00230,1545.18,380.0,49.79,2.5,0,166.0,1.2,Premium
CUST_00231,167.09,128.0,1.97,0.23,0,53.0,0.4,Prepaid
CUST_00232,196.53,114.0,2.13,0.04,1,35.0,0.9,Prepaid
CUST_00233,983.79,542.0,43.95,1.53,0,110.0,0.5,Premium
CUST_00234,1097.9,227.0,10.01,8.92,1,125.0,0.9,Standard
CUST_00235,422.98,210.0,9.16,0.36,0,100.0,1.5,Standard
CUST_00236,937.87,581.0,43.3,2.02,1,218.0,1.8,Premium
CUST_00237,176.1,92.0,1.98,0.17,0,12.0,1.3,Basic
CUST_00238,466.46,304.0,8.86,0.38,1,191.0,1.9,Postpaid
CUST_00239,634.06,310.0,14.55,8.81,2,40.0,9.4,International
CUST_00240,1124.79,212.0,51.58,0.92,1,62.0,1.2,Data Plan
CUST_00241,568.64,224.0,6.47,0.69,1,104.0,4.7,Basic
CUST_00242,370.4,294.0,9.88,0.31,15,83.0,77.5,Standard
CUST_00243,143.41,100.0,2.32,0.18,0,65.0,0.0,Prepaid
CUST_00244,1090.52,576.0,63.75,1.69,1,259.0,0.7,Premium
CUST_00245,101.59,145.0,1.97,0.0,2,46.0,0.4,Basic
CUST_00246,194.33,87.0,1.93,0.08,0,49.0,1.3,Prepaid
CUST_00247,881.78,315.0,13.73,6.53,0,113.0,2.9,Standard
CUST_00248,453.06,288.0,13.41,0.21,0,113.0,5.6,Standard
CUST_00249,428.39,456.0,10.51,0.36,0,125.0,1.7,Standard
CUST_00250,1426.37,429.0,41.26,2.66,0,154.0,0.6,Unlimited
CUST_00251,278.97,179.0,9.11,1.01,4,112.0,4.5,Basic
CUST_00252,128.94,116.0,1.94,0.09,1,62.0,0.7,Basic
CUST_00253,802.15,218.0,87.05,0.92,0,54.0,0.0,Data Plan
CUST_00254,741.57,423.0,,8.85,2,93.0,2.6,International
CUST_00255,462.51,245.0,14.27,0.34,1,211.0,0.6,Postpaid
CUST_00256,472.71,108.0,4.44,0.86,5,185.0,9.5,Standard
CUST_00257,414.46,209.0,10.93,0.19,1,179.0,0.0,Postpaid
CUST_00258,775.03,215.0,77.44,0.22,0,76.0,2.1,Unlimited
CUST_00259,617.78,265.0,11.86,0.41,0,116.0,4.4,Standard
CUST_00260,401.12,352.0,10.5,0.37,0,147.0,0.5,Standard
CUST_00261,1556.86,540.0,59.99,2.02,24,209.0,38.7,Premium
CUST_00262,294.5,198.0,4.33,0.35,2,176.0,0.6,Basic
CUST_00263,798.78,196.0,84.82,1.07,1,81.0,0.8,Data Plan
CUST_00264,495.88,340.0,9.58,0.41,0,73.0,0.5,Standard
CUST_00265,106.8,82.0,1.89,0.0,1,35.0,0.3,Basic
CUST_00266,1404.05,679.0,52.14,1.25,0,208.0,0.1,Premium
CUST_00267,304.01,334.0,6.78,0.45,6,145.0,18.4,Standard
CUST_00268,1199.05,567.0,44.6,2.34,0,189.0,0.0,Premium
CUST_00269,392.07,374.0,11.01,0.19,0,217.0,0.3,Standard
CUST_00270,77.27,45.0,1.69,0.15,0,64.0,0.5,Prepaid
CUST_00271,546.42,357.0,10.08,0.32,0,95.0,3.0,Standard
CUST_00272,704.94,207.0,85.36,1.09,0,78.0,0.9,Data Plan
CUST_00273,684.77,256.0,91.87,1.01,0,90.0,1.2,Data Plan
CUST_00274,1078.65,229.0,85.59,0.62,0,97.0,0.2,Data Plan
CUST_00275,117.57,99.0,1.92,0.09,0,40.0,0.4,Basic
CUST_00276,1402.1,481.0,39.81,1.86,0,172.0,0.0,Unlimited
CUST_00277,431.08,230.0,11.44,0.49,2,147.0,5.4,Basic
CUST_00278,177.12,63.0,2.19,0.09,0,38.0,0.2,Basic
CUST_00279,342.24,85.0,6.75,0.74,2,103.0,1.5,Basic
CUST_00280,1459.51,559.0,45.1,1.25,0,148.0,2.4,Unlimited
CUST_00281,787.77,485.0,18.6,3.87,0,126.0,0.1,International
CUST_00282,134.11,89.0,2.57,0.11,0,38.0,0.3,Prepaid
CUST_00283,1035.36,255.0,88.64,0.91,0,111.0,1.9,Data Plan
CUST_00284,918.82,293.0,66.64,0.85,11,80.0,82.6,Data Plan
CUST_00285,1136.25,284.0,67.96,1.07,1,111.0,0.5,Data Plan
CUST_00286,941.22,507.0,12.77,6.31,1,45.0,0.1,Standard
CUST_00287,394.83,313.0,10.75,0.09,1,196.0,4.2,Standard
CUST_00288,475.42,276.0,11.59,0.04,1,78.0,5.1,Standard
CUST_00289,458.2,327.0,11.61,0.29,1,196.0,5.8,Standard
CUST_00290,498.43,349.0,14.09,0.29,1,50.0,3.0,Postpaid
CUST_00291,1389.89,704.0,30.12,2.01,0,270.0,0.0,Unlimited
CUST_00292,673.83,390.0,21.84,9.13,0,106.0,3.6,International
CUST_00293,442.52,267.0,4.96,0.37,3,116.0,25.1,Standard
CUST_00294,502.09,414.0,11.85,,1,107.0,1.2,Standard
CUST_00295,50.0,265.0,8.32,0.43,8,165.0,1.8,Standard
CUST_00296,646.31,256.0,22.46,7.05,0,121.0,2.5,International
CUST_00297,235.79,315.0,6.95,0.73,5,92.0,11.3,Basic
CUST_00298,751.95,270.0,17.42,6.03,1,93.0,2.3,International
CUST_00299,196.26,113.0,2.22,0.05,1,50.0,2.8,Prepaid
CUST_00300,309.38,140.0,8.15,0.8,2,73.0,9.9,Basic
CUST_00301,1067.72,477.0,15.7,6.81,0,185.0,1.6,International
CUST_00302,140.32,94.0,1.9,0.01,0,68.0,0.9,Prepaid
CUST_00303,978.34,291.0,9.79,7.98,1,93.0,1.3,Standard
CUST_00304,313.71,302.0,11.58,0.21,2,187.0,3.8,Postpaid
CUST_00305,157.73,92.0,1.9,0.13,0,34.0,1.0,Basic
CUST_00306,1283.51,493.0,44.15,2.2,0,203.0,0.8,Premium
CUST_00307,310.13,207.0,7.33,0.62,3,104.0,19.0,Standard
CUST_00308,987.37,317.0,18.24,9.14,0,122.0,2.5,Standard
CUST_00309,147.85,55.0,1.09,0.08,0,61.0,0.0,Basic
CUST_00310,1297.55,705.0,51.2,2.14,2,287.0,0.8,Premium
CUST_00311,793.74,251.0,75.0,0.99,0,92.0,1.3,Data Plan
CUST_00312,503.81,202.0,5.82,0.37,6,90.0,10.8,Standard
CUST_00313,836.14,267.0,47.89,1.17,0,57.0,2.0,Unlimited
CUST_00314,679.36,517.0,10.41,9.12,2,108.0,4.6,International
CUST_00315,190.36,135.0,2.39,0.1,0,34.0,0.3,Basic
CUST_00316,708.54,497.0,17.03,7.48,2,140.0,3.2,International
CUST_00317,1598.67,468.0,60.04,1.57,2,212.0,1.0,Premium
CUST_00318,711.42,440.0,13.12,6.9,0,118.0,8.0,Standard
CUST_00319,360.79,276.0,6.97,0.59,2,50.0,17.7,Standard
CUST_00320,1422.12,635.0,52.34,2.7,1,182.0,2.3,Premium
CUST_00321,403.62,17.0,1.03,35.45,4,130.0,1.1,Basic
CUST_00322,411.08,289.0,10.22,0.28,2,134.0,7.0,Postpaid
CUST_00323,15.62,573.0,37.75,2.46,0,222.0,0.1,Premium
CUST_00324,935.88,216.0,82.98,0.73,0,71.0,0.1,Data Plan
CUST_00325,1040.42,404.0,16.26,11.54,1,105.0,0.2,International
CUST_00326,718.18,369.0,17.59,3.51,1,105.0,4.6,International
CUST_00327,385.87,327.0,7.71,0.21,0,189.0,0.4,Postpaid
CUST_00328,506.82,200.0,7.41,0.6,6,81.0,0.0,Standard
CUST_00329,541.85,172.0,9.44,0.69,6,160.0,15.4,Basic
CUST_00330,1126.62,449.0,35.22,1.68,0,246.0,0.1,Premium
CUST_00331,167.39,110.0,1.91,0.16,0,96.0,0.1,Prepaid
CUST_00332,485.44,322.0,7.91,0.26,0,174.0,2.2,Standard
CUST_00333,127.45,93.0,1.84,0.17,0,66.0,1.0,Basic
CUST_00334,425.74,285.0,10.39,0.27,0,180.0,1.8,Standard
CUST_00335,813.82,237.0,92.26,1.04,1,80.0,1.5,Data Plan
CUST_00336,1016.4,531.0,57.94,1.81,1,197.0,1.4,Unlimited
CUST_00337,337.15,252.0,9.13,0.21,0,83.0,3.5,Standard
CUST_00338,308.56,115.0,6.47,0.71,2,88.0,28.4,Basic
CUST_00339,919.23,335.0,13.9,7.54,3,138.0,2.2,International
CUST_00340,911.47,787.0,70.04,1.67,0,179.0,0.2,Premium
CUST_00341,1495.96,681.0,41.17,2.49,0,224.0,0.1,Unlimited
CUST_00342,361.36,139.0,8.79,0.79,3,138.0,8.8,Basic
CUST_00343,998.49,614.0,62.72,2.65,0,288.0,0.2,Unlimited
CUST_00344,272.35,273.0,7.53,0.64,0,95.0,0.5,Basic
CUST_00345,406.07,266.0,6.76,0.51,4,153.0,4.8,Basic
CUST_00346,153.68,81.0,1.36,0.06,1,28.0,0.2,Prepaid
CUST_00347,1036.08,896.0,40.97,1.78,0,260.0,0.2,Unlimited
CUST_00348,218.89,333.0,5.9,0.44,1,133.0,6.7,Basic
CUST_00349,962.64,412.0,15.68,7.0,2,108.0,3.6,International
CUST_00350,557.98,457.0,17.8,4.68,1,36.0,5.4,International
CUST_00351,694.39,345.0,13.55,0.56,5,110.0,0.7,Basic
CUST_00352,316.11,294.0,8.52,0.26,0,99.0,1.9,Postpaid
CUST_00353,178.51,122.0,2.07,0.14,0,42.0,0.3,Basic
CUST_00354,156.4,100.0,1.86,0.1,0,54.0,3.6,Basic
CUST_00355,904.68,134.0,80.29,0.46,0,79.0,0.8,Data Plan
CUST_00356,1427.56,709.0,49.31,1.95,0,251.0,,Unlimited
CUST_00357,1119.97,822.0,50.26,1.28,0,251.0,0.7,Unlimited
CUST_00358,349.21,298.0,9.76,,3,171.0,5.3,Standard
CUST_00359,815.81,305.0,59.92,0.71,1,115.0,2.2,Unlimited
CUST_00360,387.38,383.0,13.58,0.28,1,149.0,0.7,Postpaid
CUST_00361,415.82,265.0,12.54,0.39,0,145.0,4.1,Standard
CUST_00362,1532.68,623.0,63.05,2.65,1,119.0,0.5,Unlimited
CUST_00363,1391.06,746.0,54.07,2.21,0,206.0,0.5,Unlimited
CUST_00364,382.19,222.0,7.33,0.8,3,79.0,15.0,Basic
CUST_00365,1136.47,620.0,41.04,2.28,0,254.0,0.6,Unlimited
CUST_00366,324.46,322.0,6.4,0.48,1,154.0,7.5,Basic
CUST_00367,146.36,250.0,5.15,0.63,4,58.0,3.8,Standard
CUST_00368,909.37,196.0,93.17,1.03,0,78.0,0.8,Data Plan
CUST_00369,1356.66,586.0,52.63,1.79,1,223.0,0.7,Unlimited
